img1,img2,label,finger_id1,finger_id2
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair55.bmp,rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair73.bmp,1,dhy_R1,dhy_R1
rawdata/data/butieping/gjw_R0/Rgd1245/gjw_R0_pair72.bmp,rawdata/data/butieping/gyh_R2/Rgd1245/gyh_R2_pair19.bmp,0,gjw_R0,gyh_R2
rawdata/data/butieping/zyh_R2/Rgd1237/zyh_R2_pair79.bmp,rawdata/data/butieping/xyz_R0/Rgd1245/xyz_R0_pair35.bmp,0,zyh_R2,xyz_R0
rawdata/data/butieping/lwh_R0/Rgd1245/lwh_R0_pair19.bmp,rawdata/data/butieping/xzc_R2/Rgd1237/xzc_R2_pair21.bmp,0,lwh_R0,xzc_R2
rawdata/data/butieping/dhy_R2/Rgd1245/dhy_R2_pair57.bmp,rawdata/data/butieping/dy_R2/Rgd1245/dy_R2_pair90.bmp,0,dhy_R2,dy_R2
rawdata/data/butieping/lwh_R2/Rgd1245/lwh_R2_pair36.bmp,rawdata/data/butieping/xyz_R0/Rgd1245/xyz_R0_pair55.bmp,0,lwh_R2,xyz_R0
rawdata/data/butieping/xyz_R0/Rgd1245/xyz_R0_pair31.bmp,rawdata/data/butieping/xyz_R0/Rgd1245/xyz_R0_pair80.bmp,1,xyz_R0,xyz_R0
rawdata/data/butieping/zyh_R2/Rgd1237/zyh_R2_pair23.bmp,rawdata/data/butieping/zyh_R2/Rgd1237/zyh_R2_pair9.bmp,1,zyh_R2,zyh_R2
rawdata/data/butieping/xzc_R2/Rgd1237/xzc_R2_pair55.bmp,rawdata/data/butieping/zyh_R2/Rgd1237/zyh_R2_pair98.bmp,0,xzc_R2,zyh_R2
rawdata/data/butieping/dhy_R2/Rgd1245/dhy_R2_pair68.bmp,rawdata/data/butieping/zyh_R0/Rgd1237/zyh_R0_pair69.bmp,0,dhy_R2,zyh_R0
rawdata/data/butieping/gjw_R1/Rgd1245/gjw_R1_pair39.bmp,rawdata/data/butieping/gjw_R1/Rgd1245/gjw_R1_pair70.bmp,1,gjw_R1,gjw_R1
rawdata/data/butieping/lwh_R2/Rgd1245/lwh_R2_pair0.bmp,rawdata/data/butieping/lwh_R2/Rgd1245/lwh_R2_pair77.bmp,1,lwh_R2,lwh_R2
rawdata/data/butieping/lwh_R2/Rgd1245/lwh_R2_pair28.bmp,rawdata/data/butieping/lwh_R2/Rgd1245/lwh_R2_pair58.bmp,1,lwh_R2,lwh_R2
rawdata/data/butieping/xzc_R2/Rgd1237/xzc_R2_pair61.bmp,rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair47.bmp,0,xzc_R2,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair18.bmp,rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair99.bmp,1,dhy_R1,dhy_R1
rawdata/data/butieping/lwh_R1/Rgd1245/lwh_R1_pair18.bmp,rawdata/data/butieping/lwh_R1/Rgd1245/lwh_R1_pair25.bmp,1,lwh_R1,lwh_R1
rawdata/data/butieping/zyh_R2/Rgd1237/zyh_R2_pair17.bmp,rawdata/data/butieping/zyh_R2/Rgd1237/zyh_R2_pair88.bmp,1,zyh_R2,zyh_R2
rawdata/data/butieping/gyh_R1/Rgd1245/gyh_R1_pair51.bmp,rawdata/data/butieping/gyh_R1/Rgd1245/gyh_R1_pair59.bmp,1,gyh_R1,gyh_R1
rawdata/data/butieping/gyh_R1/Rgd1245/gyh_R1_pair65.bmp,rawdata/data/butieping/gyh_R1/Rgd1245/gyh_R1_pair71.bmp,1,gyh_R1,gyh_R1
rawdata/data/butieping/ssh_R1/Rgd1237/ssh_R1_pair47.bmp,rawdata/data/butieping/dy_R2/Rgd1245/dy_R2_pair72.bmp,0,ssh_R1,dy_R2
